epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,408.166,1.59161,1.57596,1.36916,0.75417,0.63119,0.72774,0.31747,1.82299,1.40855,1.43903,0.000359409,0.000359409,0.000359409
43,418.277,1.60158,1.56113,1.38174,0.79467,0.67773,0.74987,0.33679,1.84713,1.41316,1.4268,0.000341077,0.000341077,0.000341077
44,427.802,1.527,1.5324,1.32883,0.69242,0.72503,0.7647,0.32342,1.8813,1.39983,1.42765,0.000322745,0.000322745,0.000322745
45,436.241,1.52513,1.49301,1.33487,0.71006,0.76075,0.79622,0.35856,1.76566,1.345,1.39768,0.000304414,0.000304414,0.000304414
46,444.994,1.53371,1.4736,1.34171,0.76299,0.69646,0.77381,0.3294,1.90764,1.33746,1.45686,0.000286083,0.000286083,0.000286083
47,454.119,1.58185,1.47735,1.35443,0.82809,0.67748,0.78175,0.35665,1.83501,1.29001,1.419,0.000267751,0.000267751,0.000267751
48,462.644,1.50004,1.44554,1.31815,0.72396,0.78628,0.80581,0.37222,1.79515,1.29715,1.40307,0.00024942,0.00024942,0.00024942
49,475.415,1.51238,1.49131,1.33629,0.7502,0.77333,0.81276,0.38392,1.75378,1.2325,1.39926,0.000231088,0.000231088,0.000231088
50,486.562,1.50055,1.43868,1.32289,0.74678,0.80379,0.8305,0.37017,1.80963,1.28754,1.3932,0.000212757,0.000212757,0.000212757
51,507.933,1.43221,1.27546,1.27926,0.67132,0.79447,0.80016,0.34355,1.85694,1.29692,1.40261,0.000194425,0.000194425,0.000194425
52,519.215,1.44262,1.2086,1.2738,0.76574,0.76625,0.80284,0.35499,1.86028,1.31718,1.41377,0.000176094,0.000176094,0.000176094
53,530.503,1.43006,1.17605,1.25947,0.80974,0.76672,0.84212,0.37302,1.77912,1.24688,1.39405,0.000157762,0.000157762,0.000157762
54,540.708,1.37129,1.11554,1.26266,0.8,0.74423,0.82128,0.376,1.7454,1.28176,1.38584,0.000139431,0.000139431,0.000139431
55,550.314,1.3399,1.10125,1.24949,0.83017,0.7563,0.82729,0.36285,1.80534,1.27485,1.37575,0.000121099,0.000121099,0.000121099
56,559.868,1.31689,1.07647,1.19908,0.77884,0.76009,0.81322,0.36916,1.7839,1.24052,1.38146,0.000102768,0.000102768,0.000102768
57,570.134,1.39237,1.18848,1.26952,0.68809,0.81783,0.7917,0.34508,1.81183,1.25454,1.40062,8.4436e-05,8.4436e-05,8.4436e-05
58,579.321,1.39924,1.12321,1.26539,0.68932,0.80403,0.78997,0.34674,1.82556,1.26189,1.3959,6.61045e-05,6.61045e-05,6.61045e-05
59,588.489,1.34709,1.08051,1.22753,0.7585,0.76316,0.81338,0.36512,1.80994,1.24021,1.3785,4.7773e-05,4.7773e-05,4.7773e-05
60,598.295,1.26121,1.00007,1.19507,0.78839,0.76744,0.81771,0.37642,1.79735,1.21577,1.37283,2.94415e-05,2.94415e-05,2.94415e-05
